Measure Name,Measure Abbreviation (if provided),Your Name,Timestamp,Reference (APA Style),Measure Details (description),"Year (enter a number such as ""2023""; year refers to year of publication of the paper)",Link to Paper,Link to Measure/Items,Items (copy paste the actual item set),Length (duration in seconds),Length (number of items),Population (2-letter country ISO code),Language (2-letter language ISO code),Validated (any type of validation of the measure),"Objective (i.e., performance test with clear correct and wrong responses, or the mapping of actual behaviour, etc., not self-report)","Specific (i.e., tailored, not a broad measure of resilience but on a specific technique or topic, for example the topic of the intervention in the study)",Online (is the measure administered online),"Long-Term Malleability (is there evidence that the score can change when measured weeks or months later)

Note: if the study did not look at this, please put NA","Short-Term Malleability (is there evidence that the score can change immediately after an intervention, or a couple of days after the initial measure)

Note: if the study did not look at this, please put NA",Skill (see high-level overview of resilience),"Attitudes, Norms, & Beliefs (see high-level overview of resilience)",Knowledge (see high-level overview of resilience),Behavioral Correlate (see high-level overview of resilience),Identity Risk Factor (see high-level overview of resilience),"Stimuli Type (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Origin (see high-level overview of resilience; this refers to how the stimuli was created or collected)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Source (see high-level overview of resilience; this refers to whether the stimuli itself includes any source information, for example if the stimuli is a social media post whether this has been posted or written by an individual and this source information is included in the stimuli)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Characteristics (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Platform (see high-level overview of resilience; this refers to the format of the stimuli and what type of platform the stimuli resemble)

Note: this may not be relevant for self-report scales, in that case, put NA",Response Option (see high-level overview of resilience),Component Type (see high-level overview of resilience),Behavior Type (see high-level overview of resilience),Risk Type (see high-level overview of resilience),Any comments?,Link to Original Measure Paper (if the measure used in the paper is based on a measure from a different paper),If this variable is a Key Correlate variable (see intervention scoring sheet); indicate which one,Does paper include a scale/measure?,Language (2-letter language ISO code)
Social Engagement Metrics (News Sharing),NA,Christiane,26/08/2023 01:07:09,"Avram, M., Micallef, N., Patil, S., & Menczer, F. (2020). Exposure to social engagement metrics increases vulnerability to misinformation. "," investigating the effect of exposure to social engagement metrics on the spread of information from low-credibility sources; participants given the option to like, share, fact-check or skip",2020,https://doi.org/10.37016/mr-2020-033,https://misinforeview.hks.harvard.edu/article/exposure-to-social-engagement-metrics-increases-vulnerability-to-misinformation/,NA,NA,10,US; AU; UK; CA; DE; BG,en,No,No,Yes,Yes,NA,NA,No,No,No,Yes,No,Mixed,Real,Organisations,News_Headline,Mixed,Behavior,NA,Sharing,,"Measure also looks at reactions (likes, fact-checking, skipping), not just sharing",NA,NA,Yes,
Social Media Trust,NA,Christiane,05/06/2023 17:39:02,"Morosoli, S., Van Aelst, P., Humprecht, E., Staender, A., & Esser, F. (2022). Identifying the Drivers Behind the Dissemination of Online Misinformation: A Study on Political Attitudes and Individual Characteristics in the Context of Engaging With Misinformation on Social Media.",Participants asked to indicate to what extent they believed they could trust news on social media.,2022,https://doi.org/10.1177/00027642221118300,https://journals.sagepub.com/doi/full/10.1177/00027642221118300?utm_source=summon&utm_medium=discovery-provider,"Not exact wording available; ""we asked the participants to indicate if they thought they could trust the news on social media (1 = strongly disagree, 7 = strongly agree)"" ",NA,1,CH BE FR DE GB US,de nl fr de en en,No,No,Yes,NA,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,Scale,Trust,NA,NA,,NA,NA,Yes,
Social medial post discernment task,NA,April Hwang,19/08/2023 06:58:12,"Roozenbeek, J., van der Linden, S., Goldberg, B., Rathje, S., & Lewandowsky, S. (2022). Psychological inoculation improves resilience against misinformation on social media. Science Advances, 8(34), eabo6254-eabo6254. https://doi.org/10.1126/sciadv.abo6254","The treatment (inoculation) group watched one of the “inoculation” videos, and the control group watched a video of similar length and aesthetic, but with content unrelated to online misinformation. Participants were shown a series of 10 stimuli, each of which was randomly either manipulative (i.e., containing the manipulation technique relevant to the study) or a neutral post matched to the manipulative post, similar in content and length but not containing the manipulation technique against which people in the treatment group were inoculated. Then participants were asked to evaluate the post and if they would share it with people in their network.",2022,https://doi.org/10.1126/sciadv.abo6254,https://doi.org/10.1126/sciadv.abo6254,This post is manipulative; I am confident about my assessment of this post’s manipulativeness; This post is truth worthy; I would share this post with people in my network,NA,4,UK,EN,No,Yes,No,Yes,NA,Yes,Yes,No,No,Yes,No,Text,Lab,NoSource,Other,Facebook,Scale,DiscManipulativeness,Sharing,,stimuli characteristic - social media post; stimuli platform - mimicking facebook and twitter ,NA,Cognitive Reflection,Yes,
Social/Economic Conservatism,NA,Christiane,05/06/2023 12:42:47,"Pennycook, G., McPhetres, J., Zhang, Y., Lu, J. G., & Rand, D. G. (2020). Fighting COVID-19 Misinformation on Social Media: Experimental Evidence for a Scalable Accuracy-Nudge Intervention. Psychological Science, 31(7), 770–780. https://doi.org/10.1177/0956797620939054",Two questions targeting participants degree of conservatism on social and economic issues.,2020,https://doi.org/10.1177/0956797620939054,(starting on page 519)  https://osf.io/2uyd3,On social issues I am: Strongly Liberal Somewhat Liberal Moderate Somewhat Conservative Strongly Conservative On economic issues I am: Strongly Liberal Somewhat Liberal Moderate Somewhat Conservative Strongly Conservative,NA,2,US,en,Yes,No,Yes,Yes,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,Scale,Belief,NA,NA,,NA,NA,Yes,
Source monitoring test,NA,April Hwang,11/07/2023 02:07:55,"Zhu, B., Chen, C., Loftus, E. F., Lin, C., He, Q., Chen, C., Li, H., Moyzis, R. K., Lessard, J., & Dong, Q. (2010). Individual differences in false memory from misinformation: Personality characteristics and their interactions with cognitive abilities. Personality and Individual Differences, 48(8), 889-894. https://doi.org/10.1016/j.paid.2010.02.016","Used Okado and Stark’s (2005) misinformation false memory materials. First, subjects saw picture slides depicting an event. Two events were selected, each consisting of 50 digital color slides. Presentation order of the two events was randomized across subjects. Of the 50 slides, 12 were critical slides that would be inaccurately described in the next stage. Participants complete 30 min of filler tasks. Subjects then read narrations of the two events that had been presented in picture slides. The narratives consisted of one sentence for each slide image describing the scene depicted in the slide. For each event, 50 sentences were presented, including 12 inaccurate descriptions and 38 accurate descriptions. Participants complete 10 min filler task. Subjects then took the recognition test and then a source monitoring test. For the recognition test, 18 questions were asked for each story, 12 of which were critical questions and 6 were control questions. Each question had three possible choices as answers. Immediately after the recognition test, subjects took the source monitoring test. Subjects were asked from what presentation source they remembered the answers they indicated on the recognition test. ",2010,https://doi.org/10.1016/j.paid.2010.02.016,https://doi.org/10.1016/j.paid.2010.02.016,"Subjects were asked from what presentation source they remembered the answers they indicated on the recog- nition test. Five options were given: ‘‘saw it in the picture only”, ‘‘read it in the narrations only”, ‘‘saw it in both and they were the same”, ‘‘saw it in both and they conflicted with each other”, and ‘‘guessed”",NA,1,CN,CN,Yes,Yes,Yes,NA,NA,NA,Yes,No,No,No,No,Image,Lab,NoSource,Other,NoPlatform,Scale,DiscVeracity,NA,,"Article implies that the source monitoring test only has one question, but it would be great if someone else could double check that this appears to be the case and if they can find the actual item list that I had missed.",https://doi.org/10.1101/lm.87605,NA,Yes,
Standard Progressive Matrices,NA,Christiane,07/06/2023 16:56:40,"Lommen, M. J. J., Engelhard, I. M., & van den Hout, M. A. (2013). Susceptibility to long-term misinformation effect outside of the laboratory.",An abstract reasoning task,2013,https://doi.org/10.3402/ejpt.v4i0.19864,"(Link in paper does not lead to items, had to track down) https://pdfcoffee.com/standard-progressive-matrices-test-booklet-pdf-free.html",NA,NA,60,NL,nl,Yes,Yes,No,No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,Other,GeneralReasoning,NA,NA,Response mode: multiple choice,https://www.researchgate.net/profile/John-Raven/publication/353322840_Raven_J_JAPrieler_GHFischer_The_Value_of_Change_Scores_and_the_Measurement_of_Change_in_Groups_and_Individuals/links/60f406ab16f9f313008f5149/Raven-J-JAPrieler-GHFischer-The-Value-of-Change-Scores-and-the-Measurement-of-Change-in-Groups-and-Individuals.pdf,NA,Yes,
Superstitious Beliefs,NA,Christiane,10/05/2023 21:25:23,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220",Endorsement of negative and positive superstitious beliefs,2022,https://doi.org/10.1016/j.jrp.2022.104220,https://doi.org/10.1016/j.paid.2004.02.009,"The three negative items concerned walking under a ladder (‘‘Have you avoided walking under a ladder because it is associated with bad luck?’’), breaking a mirror (‘‘Would you be anxious about breaking a mirror because it is thought to cause bad luck?’’) and the number 13 (‘‘Are you superstitious about the number 13?’’). The three positive items con- cerned crossing fingers (‘‘Do you say ‘fingers crossed’ or actually cross your fingers?’’), touching wood (‘‘Do you say ‘touch wood’ or actually touch or knock on wood?’’) and carrying a lucky charm (‘‘Do you sometimes carry a lucky charm or object?’’",NA,6,NA,en,No,No,Yes,Yes,No,No,No,Yes,No,No,No,NA,NA,NA,NA,NA,Scale,Belief,NA,NA,,,,,
The International Cognitive Ability Resource Sample Test,ICAR Sample Test,Christiane,10/05/2023 21:52:13,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220",Task measuring different domains of cognitive ability,2022,https://doi.org/10.1016/j.jrp.2022.104220,http://dx.doi.org/10.1016/j.intell.2014.01.004,"There are many, several of which have images, here's a link to the PDF: https://ars.els-cdn.com/content/image/1-s2.0-S0160289614000051-mmc1.pdf",NA,16,NA,en,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,Other,GeneralReasoning,NA,Other,,,,,
The Revised Paranormal Belief Scale,RPBS,Christiane,10/05/2023 22:13:41,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220",Measure of paranormal beliefs,2022,https://doi.org/10.1016/j.jrp.2022.104220,https://web.s.ebscohost.com/ehost/pdfviewer/pdfviewer?vid=0&sid=0e625316-9bf2-4c14-b750-760af322729d%40redis," l=Strongly Disagree 2=Moderately Disagree 3=Slightly Disagree 4=Uncertain 5=Slightly Agree 6=Moderately Agree 7=Strongly Agree 1. The soul continues to exist though the body may die. 2. Some individuals are able to levitate (lift) objects through mental forces. 3. Black magic really exists. 4. Black cats can bring bad luck. 5. Your mind or soul can leave your body and travel (astral projection). 6. The abominable snowman of Tibet exists. 7. Astrology is a way to accurately predict the future. 8. There is a devil. 9. Psychokinesis, the movement of objects through psychic powers, does exist. 10. Witches do exist. 11. If you break a mirror, you will have bad luck. 12. During altered states, such as sleep or trances, the spirit can leave the body. 13. The Loch Ness monster of Scotland exists. 14. The horoscope accurately tells a person's future. 15. I believe in God 16. A person's thoughts can influence the movement of a physical object. 17. Through the use of formulas and incantations, it is possible to cast spells on persons. 18. The number ""13"" is unlucky. 19. Reincarnation does occur. 20. There is life on other planets. 21. Some psychics can accurately predict the future. 22. There is a heaven and a hell. 23. Mind reading is not possible. 24. There are actual cases of witchcraft. 25. It is possible to communicate with the dead. 26. Some people have an unexplained ability to predict the future.",NA,26,NA,en,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,ThinkingStyle,,,,,
Trust in COVID-19 Information Sources,NA,Christiane,05/06/2023 20:10:02,"De Coninck, D., Frissen, T., Matthijs, K., d’Haenens, L., Lits, G., Champagne-Poirier, O., Carignan, M.-E., David, M. D., Pignard-Cheynel, N., Salerno, S., & Généreux, M. (2021). Beliefs in Conspiracy Theories and Misinformation About COVID-19: Comparative Perspectives on the Role of Anxiety, Depression and Exposure to and Trust in Information Sources.", Assessing trust in different actors and information sources within society,2021,https://doi.org/10.3389/fpsyg.2021.646394,NA,"scientists, doctors and health experts, national health organizations, global health organizations, news organizations, government, politicians, people you know.",NA,7,BE CA GB HK NZ PH CH US,en nl zh fil fr it de,No,No,Yes,Yes,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,Scale,Trust,NA,NA,"As in other entries for this paper, one version of the survey was in filipino, but I was not able to find a 2-letter iso code for filipino, only tagalog, so I used the 3 letter code",NA,NA,Yes,
